optimiser,metaphor_based,seed,eval_count,objective,wallclock_s
Gradient descent,False,15,15000,0.012902178801596165,37.5147192000004
Gradient descent,False,16,15000,0.012924833223223686,36.97668700000213
Gradient descent,False,17,15000,0.01257181353867054,35.9079582000013
Gradient descent,False,18,15000,0.012556562200188637,36.40121670000008
Gradient descent,False,19,15000,0.01278043631464243,36.472557599998254
Gradient descent,False,20,15000,0.012986005283892155,36.82049430000188
Gradient descent,False,21,15000,0.013023396953940392,37.79853119999825
Gradient descent,False,22,15000,0.012976470403373241,38.08936529999846
Gradient descent,False,23,15000,0.012864471413195133,37.53363929999978
Gradient descent,False,24,15000,0.013011024333536625,37.24036320000232
Gradient descent,False,25,15000,0.012968161143362522,37.28445570000258
Gradient descent,False,26,15000,0.012646721675992012,37.24445729999934
Gradient descent,False,27,15000,0.013027654960751534,37.27185009999812
Gradient descent,False,28,15000,0.012816124595701694,37.87814680000156
Gradient descent,False,29,15000,0.01302136667072773,37.14902459999939
