cls,precision,recall,baseline,average_precision
N,0.8902138324103642,1.0,0.8902138324103642,0.9817703090206553
N,0.8906256319003518,0.9999772964627889,0.8902138324103642,0.9817703090206553
N,0.8910378312765527,0.9999545929255778,0.8902138324103642,0.9817703090206553
N,0.8914504311217261,0.9999318893883667,0.8902138324103642,0.9817703090206553
N,0.8918634320197643,0.9999091858511556,0.8902138324103642,0.9817703090206553
N,0.892256574415495,0.9998637787767334,0.8902138324103642,0.9817703090206553
N,0.8926703693193335,0.9998410752395224,0.8902138324103642,0.9817703090206553
N,0.8930642871628472,0.9997956681651001,0.8902138324103642,0.9817703090206553
N,0.8934991681207645,0.9997956681651001,0.8902138324103642,0.9817703090206553
N,0.8939141731963786,0.999772964627889,0.8902138324103642,0.9817703090206553
N,0.8943498923595596,0.999772964627889,0.8902138324103642,0.9817703090206553
N,0.8947860364936807,0.999772964627889,0.8902138324103642,0.9817703090206553
N,0.8952226062207765,0.999772964627889,0.8902138324103642,0.9817703090206553
N,0.8956392629052597,0.9997502610906779,0.8902138324103642,0.9817703090206553
N,0.8960766757559725,0.9997502610906779,0.8902138324103642,0.9817703090206553
N,0.8964737977930698,0.9997048540162558,0.8902138324103642,0.9817703090206553
N,0.8968916771906954,0.9996821504790446,0.8902138324103642,0.9817703090206553
N,0.8972895863052782,0.9996367434046224,0.8902138324103642,0.9817703090206553
N,0.8976674958202504,0.9995686327929891,0.8902138324103642,0.9817703090206553
N,0.8980865733752192,0.999545929255778,0.8902138324103642,0.9817703090206553
N,0.8984856524756113,0.9995005221813559,0.8902138324103642,0.9817703090206553
N,0.8989259607138481,0.9995005221813559,0.8902138324103642,0.9817703090206553
N,0.8992645556690501,0.9993870044953004,0.8902138324103642,0.9817703090206553
N,0.899685238932265,0.9993643009580893,0.8902138324103642,0.9817703090206553
N,0.8999836407508895,0.9992053761976116,0.8902138324103642,0.9817703090206553
N,0.9003846311223863,0.9991599691231894,0.8902138324103642,0.9817703090206553
N,0.9007860154746796,0.9991145620487673,0.8902138324103642,0.9817703090206553
N,0.9011877943886955,0.999069154974345,0.8902138324103642,0.9817703090206553
N,0.9015489898782937,0.9989783408255006,0.8902138324103642,0.9817703090206553
N,0.9019310401377557,0.9989102302138673,0.8902138324103642,0.9817703090206553
N,0.9023339759629189,0.9988648231394451,0.8902138324103642,0.9817703090206553
N,0.9027373086551483,0.9988194160650229,0.8902138324103642,0.9817703090206553
N,0.9031205091357011,0.9987513054533896,0.8902138324103642,0.9817703090206553
N,0.9035451669884567,0.9987286019161785,0.8902138324103642,0.9817703090206553
N,0.9039496938062554,0.9986831948417564,0.8902138324103642,0.9817703090206553
N,0.9043340597886427,0.998615084230123,0.8902138324103642,0.9817703090206553
N,0.9046982350763154,0.9985242700812786,0.8902138324103642,0.9817703090206553
