arm,mixed,inter,rank_mixed,rank_inter,rank_change
A,0.742714889966803,0.4079200773897324,1,1,0
B,0.14562582421092057,0.08743591255357364,7,7,0
B2,0.3190283968811192,0.254138670403212,5,5,0
C,0.14592983563169223,0.08789825013159713,6,6,0
D,0.6830333159050551,0.34322799699762224,3,3,0
E,0.6168218146556089,0.337610304806614,4,4,0
F,0.6834410904003287,0.3875737934169555,2,2,0
