cls,fpr,tpr,auc
N,0.0,0.0,0.879125540329139
N,0.0,0.0012713980838214593,0.879125540329139
N,0.0,0.00642510103074059,0.879125540329139
N,0.0,0.006879171774962539,0.879125540329139
N,0.0,0.01285020206148118,0.879125540329139
N,0.0,0.014053489533669345,0.879125540329139
N,0.0,0.017254688280434093,0.879125540329139
N,0.0,0.01736820596648958,0.879125540329139
N,0.0001840942562592047,0.019229896017799574,0.879125540329139
N,0.0001840942562592047,0.02072832947373201,0.879125540329139
N,0.0001840942562592047,0.022362984152931028,0.879125540329139
N,0.0001840942562592047,0.02340734686464151,0.879125540329139
N,0.0001840942562592047,0.024610634336829678,0.879125540329139
N,0.0001840942562592047,0.025087408618262724,0.879125540329139
N,0.0001840942562592047,0.02604095718112882,0.879125540329139
N,0.0001840942562592047,0.026426917313717477,0.879125540329139
N,0.0001840942562592047,0.02903782409299369,0.879125540329139
N,0.0001840942562592047,0.03198928393043636,0.879125540329139
N,0.0001840942562592047,0.034600190709712576,0.879125540329139
N,0.0001840942562592047,0.034963447305090135,0.879125540329139
N,0.0001840942562592047,0.03562184988421196,0.879125540329139
N,0.0001840942562592047,0.03578077464468964,0.879125540329139
N,0.0001840942562592047,0.03825546020069927,0.879125540329139
N,0.0001840942562592047,0.03877764155655451,0.879125540329139
N,0.0001840942562592047,0.03911819461472097,0.879125540329139
N,0.0001840942562592047,0.03923171230077646,0.879125540329139
N,0.0001840942562592047,0.041888026154474865,0.879125540329139
N,0.0001840942562592047,0.04356808790809608,0.879125540329139
N,0.0001840942562592047,0.04384053035462925,0.879125540329139
N,0.0001840942562592047,0.04602006992689461,0.879125540329139
N,0.0001840942562592047,0.046769286654860825,0.879125540329139
N,0.0001840942562592047,0.047427689233982655,0.879125540329139
N,0.0001840942562592047,0.04758661399446034,0.879125540329139
N,0.0001840942562592047,0.04981156064114789,0.879125540329139
N,0.0001840942562592047,0.050152113699314355,0.879125540329139
N,0.0001840942562592047,0.05387549380193434,0.879125540329139
N,0.0001840942562592047,0.05573718385324433,0.879125540329139
N,0.0001840942562592047,0.057848612813876404,0.879125540329139
N,0.0001840942562592047,0.0605276302047859,0.879125540329139
N,0.0001840942562592047,0.06359260772828407,0.879125540329139
N,0.0001840942562592047,0.0651364482586387,0.879125540329139
N,0.0001840942562592047,0.06645325341688235,0.879125540329139
N,0.0001840942562592047,0.06770194796349271,0.879125540329139
N,0.0001840942562592047,0.06888253189846978,0.879125540329139
N,0.0001840942562592047,0.06999500522181355,0.879125540329139
N,0.0001840942562592047,0.072424283703401,0.879125540329139
N,0.0001840942562592047,0.07514870816873269,0.879125540329139
N,0.0001840942562592047,0.07567088952458793,0.879125540329139
N,0.0001840942562592047,0.07655632747582074,0.879125540329139
N,0.0001840942562592047,0.076851473459565,0.879125540329139
N,0.0001840942562592047,0.07750987603868682,0.879125540329139
N,0.0001840942562592047,0.08118784906688462,0.879125540329139
N,0.0003681885125184094,0.08382145938337193,0.879125540329139
N,0.0003681885125184094,0.0841166053671162,0.879125540329139
N,0.0003681885125184094,0.0877037642464696,0.879125540329139
N,0.0005522827687776141,0.09036007810016801,0.879125540329139
N,0.0005522827687776141,0.10252917404531627,0.879125540329139
N,0.0005522827687776141,0.1030513554011715,0.879125540329139
N,0.0005522827687776141,0.10609362938745856,0.879125540329139
N,0.0005522827687776141,0.10686554965263588,0.879125540329139
N,0.0007363770250368188,0.10927212459701222,0.879125540329139
N,0.0011045655375552283,0.11149707124369977,0.879125540329139
N,0.001288659793814433,0.12371157426327022,0.879125540329139
N,0.0016568483063328424,0.12507378649593606,0.879125540329139
N,0.001840942562592047,0.12850202061481178,0.879125540329139
N,0.0022091310751104565,0.13047722835217726,0.879125540329139
N,0.0023932253313696614,0.13363302002451982,0.879125540329139
N,0.002577319587628866,0.13501793579439678,0.879125540329139
N,0.002761413843888071,0.1382872451527948,0.879125540329139
N,0.002761413843888071,0.14180629342051493,0.879125540329139
N,0.0029455081001472753,0.14421286836489125,0.879125540329139
N,0.0031296023564064803,0.14941197838623257,0.879125540329139
N,0.0034977908689248897,0.15084230123053172,0.879125540329139
N,0.003681885125184094,0.15417972120056306,0.879125540329139
N,0.004050073637702504,0.15574626526812876,0.879125540329139
N,0.004234167893961708,0.16028697271034828,0.879125540329139
N,0.004234167893961708,0.16498660491304545,0.879125540329139
N,0.004418262150220913,0.1717976660763747,0.879125540329139
N,0.004418262150220913,0.17561186032783907,0.879125540329139
N,0.004602356406480118,0.17690596194887162,0.879125540329139
N,0.004786450662739323,0.17765517867683786,0.879125540329139
