optimiser,evaluations,mean,q25,q75
CMA-ES,9000,0.20393185963233312,0.17513785138726234,0.23159154504537582
CMA-ES,9250,0.19664546698331833,0.1711159124970436,0.21421121433377266
CMA-ES,9500,0.1929756611585617,0.1687764711678028,0.21421121433377266
CMA-ES,9750,0.18618153035640717,0.16226881369948387,0.20621824637055397
CMA-ES,10000,0.18201132118701935,0.16117019951343536,0.20463897287845612
CMA-ES,10250,0.1748578538497289,0.15465207025408745,0.19431574642658234
CMA-ES,10500,0.17015271186828612,0.14540085569024086,0.19015588983893394
CMA-ES,10750,0.16551161855459212,0.14367985352873802,0.1860336996614933
CMA-ES,11000,0.1612781474987666,0.1425733007490635,0.17897440865635872
CMA-ES,11250,0.15687129000822703,0.14210239425301552,0.17823704332113266
CMA-ES,11500,0.15238400921225548,0.13282188773155212,0.1680983155965805
CMA-ES,11750,0.14936245356996855,0.13126538693904877,0.1666502170264721
CMA-ES,12000,0.14428995500008265,0.12373695150017738,0.1634916365146637
CMA-ES,12250,0.14118002826968828,0.12281115911900997,0.16124945506453514
CMA-ES,12500,0.13702767342329025,0.11764670349657536,0.1524403765797615
CMA-ES,12750,0.13449791024128596,0.11642701737582684,0.15005650743842125
CMA-ES,13000,0.13028362542390823,0.11602850444614887,0.14293798431754112
CMA-ES,13250,0.12564369787772497,0.11121629364788532,0.13948878645896912
CMA-ES,13500,0.12320039843519529,0.11097759753465652,0.13702579587697983
CMA-ES,13750,0.12201206286748251,0.109108230099082,0.13648051023483276
CMA-ES,14000,0.11911397104461988,0.10525817237794399,0.13263969495892525
CMA-ES,14250,0.11760216529170672,0.10298540256917477,0.13263969495892525
CMA-ES,14500,0.11567156141002972,0.1019901018589735,0.13052280247211456
CMA-ES,14750,0.11273536284764608,0.10038848221302032,0.12829256802797318
CMA-ES,15000,0.10978407363096873,0.09562109410762787,0.12406600080430508
GPC,0,8.137047060330708,4.965167999267578,10.42786455154419
GPC,250,7.531569822629293,4.61310350894928,9.83084774017334
GPC,500,6.677203623453776,3.998572587966919,8.989097833633423
GPC,750,5.7403414964675905,3.5541308522224426,7.724687099456787
GPC,1000,4.884780812263489,3.1518656611442566,6.515546202659607
GPC,1250,4.1831444581349695,2.823610305786133,5.344377517700195
GPC,1500,3.6513211091359454,2.553398370742798,4.741478323936462
GPC,1750,3.1864232460657758,2.2640268206596375,4.065110921859741
GPC,2000,2.7951385776201882,2.0605688095092773,3.5248177647590637
GPC,2250,2.450609608491262,1.8282460272312164,3.0187017917633057
GPC,2500,2.1885747790336607,1.6438420414924622,2.5938135981559753
GPC,2750,1.973131263256073,1.4674704670906067,2.307678461074829
GPC,3000,1.7865872859954834,1.3915975689888,2.007115125656128
GPC,3250,1.6153054455916087,1.2666379809379578,1.9078106880187988
GPC,3500,1.4838832994302114,1.1415499448776245,1.7598053514957428
GPC,3750,1.3742262164751688,1.0810054242610931,1.6308576464653015
GPC,4000,1.2677075505256652,1.0147980749607086,1.477302372455597
GPC,4250,1.1741848448912302,0.9247773140668869,1.4073567390441895
GPC,4500,1.0932039817174275,0.8656139671802521,1.3411426842212677
GPC,4750,1.0229409952958426,0.8176904320716858,1.234098196029663
GPC,5000,0.9591060698032379,0.7589345425367355,1.1284232139587402
GPC,5250,0.8999635895093282,0.7120634019374847,1.0255677253007889
GPC,5500,0.8407351454099019,0.6741910576820374,0.9658301323652267
GPC,5750,0.7947011808554332,0.624934509396553,0.9010131061077118
GPC,6000,0.7547181983788808,0.5794181823730469,0.8641425669193268
GPC,6250,0.7141136695941289,0.5656378269195557,0.8110978454351425
GPC,6500,0.6761447687943777,0.5234367847442627,0.759153351187706
GPC,6750,0.6324093321959178,0.4914671629667282,0.7163917273283005
GPC,7000,0.6024679233630498,0.4727620631456375,0.688042163848877
GPC,7250,0.5758598258097967,0.4579377695918083,0.6609571129083633
GPC,7500,0.5493178606033325,0.4316941276192665,0.6256708800792694
GPC,7750,0.5228721817334493,0.4075743928551674,0.5998836755752563
GPC,8000,0.4988131393988927,0.3830631896853447,0.572715625166893
GPC,8250,0.48087700506051384,0.37506113201379776,0.5304433554410934
GPC,8500,0.4598772466182709,0.36033499240875244,0.5154246389865875
GPC,8750,0.4424722631772359,0.35202706605196,0.4927617460489273
GPC,9000,0.4265466014544169,0.3340950757265091,0.4741811156272888
GPC,9250,0.4078945870200793,0.30922141671180725,0.4523280933499336
GPC,9500,0.3907936900854111,0.29747315496206284,0.429763562977314
GPC,9750,0.37679638514916103,0.2862040475010872,0.424876369535923
GPC,10000,0.3632202650109927,0.2801288217306137,0.40554340928792953
GPC,10250,0.35078123162190117,0.26925644278526306,0.39447731524705887
GPC,10500,0.3387710000077883,0.2539544701576233,0.36570943146944046
GPC,10750,0.3260287071267764,0.24685035273432732,0.36113354563713074
GPC,11000,0.31469339778025945,0.24515177682042122,0.34327610582113266
GPC,11250,0.3024408742785454,0.23611126840114594,0.33378810435533524
GPC,11500,0.2947813143332799,0.22782116383314133,0.3280572295188904
GPC,11750,0.2852483630180359,0.21974975243210793,0.3178452327847481
GPC,12000,0.2749606385827065,0.21506128460168839,0.3096223697066307
GPC,12250,0.26730113873879113,0.2097606472671032,0.29648254811763763
GPC,12500,0.26186691373586657,0.2045143060386181,0.28050509095191956
GPC,12750,0.25371744533379875,0.19495445862412453,0.2732522636651993
GPC,13000,0.24596245090166727,0.18614079430699348,0.2692047581076622
GPC,13250,0.23997165660063427,0.1856997162103653,0.2599714696407318
GPC,13500,0.23335770616928736,0.18246589601039886,0.25219064578413963
GPC,13750,0.22746313065290452,0.17555896565318108,0.24486753344535828
GPC,14000,0.22125162879625956,0.17168331146240234,0.24193156883120537
GPC,14250,0.2157444804906845,0.1702096052467823,0.23219455033540726
GPC,14500,0.21122620751460394,0.16376281902194023,0.2273438535630703
GPC,14750,0.20733650376399357,0.16338157281279564,0.22005487978458405
GPC,15000,0.20241228143374126,0.15655256807804108,0.21828923374414444
Gradient descent,0,40.991562875111896,29.46000576019287,52.55661678314209
Gradient descent,250,0.0958980401357015,0.069200549274683,0.11369748413562775
Gradient descent,500,0.043067999805013336,0.03514055162668228,0.04726338945329189
Gradient descent,750,0.030118201114237308,0.025901869870722294,0.03305479697883129
Gradient descent,1000,0.02500071581453085,0.022443048655986786,0.027011525817215443
Gradient descent,1250,0.022511198309560616,0.020711304619908333,0.024302291683852673
Gradient descent,1500,0.0208587900424997,0.019595440477132797,0.022139873821288347
Gradient descent,1750,0.019636482993761698,0.0184578993357718,0.02024766057729721
Gradient descent,2000,0.018642723684509595,0.01764255901798606,0.01969406893476844
Gradient descent,2250,0.017922306805849074,0.01697380468249321,0.01899458607658744
