dataset,target_coverage,observed_coverage,macro_f1,accuracy,n
DS2,0.5,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.52,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.54,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.56,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.58,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.6,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.62,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.64,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.66,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.68,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.7,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.72,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.74,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.76,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.78,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.8,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.82,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.84,1.0,0.35140209378491755,0.8820687982537694,49478
DS2,0.86,0.9992521928938114,0.35158316092870695,0.8822030298739912,49441
DS2,0.88,0.9871458021747039,0.35404064313629385,0.8863273412227182,48842
DS2,0.9,0.9616395165528113,0.35721252457611524,0.8936107608238756,47580
DS2,0.92,0.9205505477181778,0.3627141367951425,0.9042088392210245,45547
DS2,0.94,0.8571284207122357,0.3691011126716509,0.9182013251904076,42409
DS2,0.96,0.7567403694571324,0.3741779321580391,0.9382244538219112,37442
DS2,0.98,0.509721492380452,0.3883043926020183,0.9756542426645519,25220
INCART,0.5,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.52,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.54,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.56,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.58,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.6,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.62,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.64,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.66,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.68,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.7,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.72,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.74,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.76,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.78,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.8,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.82,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.84,1.0,0.36250769095485125,0.9097829811536265,175100
INCART,0.86,0.9981267846944603,0.36312068872571457,0.9104719291419678,174772
INCART,0.88,0.9796287835522558,0.36734582668681703,0.9162785003468721,171533
INCART,0.9,0.9542147344374643,0.3726624198766208,0.9227210428349982,167083
INCART,0.92,0.9206967447173044,0.3806354617006097,0.9319724093441016,161214
INCART,0.94,0.8754026270702455,0.39001303582502417,0.9442599635967459,153283
INCART,0.96,0.8033752141633352,0.40954478577345227,0.9594159421629191,140671
INCART,0.98,0.6129126213592233,0.4105708332588792,0.9815040858732215,107321
SVDB,0.5,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.52,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.54,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.56,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.58,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.6,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.62,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.64,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.66,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.68,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.7,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.72,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.74,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.76,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.78,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.8,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.82,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.84,1.0,0.3552925144218578,0.8854044229680902,183768
SVDB,0.86,0.9990041791824474,0.35574669357678546,0.8857695345480295,183585
SVDB,0.88,0.9865373732096991,0.3597365794781227,0.8900680662349554,181294
SVDB,0.9,0.966065909189848,0.3643831608074718,0.8971791001058964,177532
SVDB,0.92,0.9337697531670367,0.3703297930766654,0.9076265902084535,171597
SVDB,0.94,0.887265465151713,0.3777942908555444,0.9211596371687386,163051
SVDB,0.96,0.8086391537155544,0.3849557505456495,0.9409698388985344,148602
SVDB,0.98,0.587055417700579,0.3896037957246842,0.9651378357835413,107882
